SD8020 AIRFOIL
 1.000000  0.000000
 0.950000  0.003500
 0.900000  0.007000
 0.800000  0.013500
 0.700000  0.019500
 0.600000  0.025000
 0.500000  0.029500
 0.400000  0.033000
 0.300000  0.035000
 0.200000  0.034000
 0.100000  0.027000
 0.050000  0.020000
 0.025000  0.014000
 0.000000  0.000000
 0.025000 -0.014000
 0.050000 -0.020000
 0.100000 -0.027000
 0.200000 -0.034000
 0.300000 -0.035000
 0.400000 -0.033000
 0.500000 -0.029500
 0.600000 -0.025000
 0.700000 -0.019500
 0.800000 -0.013500
 0.900000 -0.007000
 0.950000 -0.003500
 1.000000  0.000000
