run_id,sweep_deg,taper_ratio,aspect_ratio,span_b_m,c_root_m,c_tip_m,Cd,Cy,Cl,status
run_01,19.82,0.581,2.91,0.3813,0.1659,0.0964,,,,PENDING
run_02,23.87,0.732,1.65,0.2873,0.2009,0.1471,,,,PENDING
run_03,19.16,0.67,1.99,0.3157,0.1897,0.127,,,,PENDING
run_04,32.7,0.702,2.0,0.3165,0.1857,0.1303,,,,PENDING
run_05,24.57,0.496,1.93,0.3105,0.2153,0.1067,,,,PENDING
run_06,33.52,0.779,1.85,0.3039,0.185,0.1441,,,,PENDING
run_07,25.11,0.485,2.61,0.3614,0.1863,0.0904,,,,PENDING
run_08,18.76,0.787,2.66,0.3644,0.1536,0.1209,,,,PENDING
run_09,33.81,0.744,1.73,0.2938,0.1951,0.1452,,,,PENDING
run_10,20.97,0.598,2.87,0.3785,0.1653,0.0989,,,,PENDING
run_11,27.84,0.6,1.88,0.3069,0.2036,0.1222,,,,PENDING
run_12,30.75,0.687,2.44,0.3493,0.1697,0.1166,,,,PENDING
run_13,17.58,0.554,1.59,0.2818,0.2284,0.1264,,,,PENDING
run_14,15.89,0.568,1.51,0.2746,0.2323,0.1318,,,,PENDING
run_15,31.2,0.436,2.46,0.3506,0.1986,0.0866,,,,PENDING
run_16,23.13,0.648,2.99,0.3864,0.157,0.1018,,,,PENDING
run_17,15.21,0.545,2.29,0.3384,0.1913,0.1042,,,,PENDING
run_18,18.33,0.523,2.77,0.3719,0.1766,0.0923,,,,PENDING
run_19,34.53,0.71,2.33,0.3411,0.1715,0.1217,,,,PENDING
run_20,29.29,0.638,2.14,0.3274,0.1864,0.119,,,,PENDING
run_21,31.89,0.46,2.57,0.3586,0.191,0.0879,,,,PENDING
run_22,25.82,0.618,2.37,0.3444,0.1794,0.1109,,,,PENDING
run_23,27.29,0.423,1.8,0.2999,0.2344,0.0991,,,,PENDING
run_24,21.38,0.757,2.73,0.3694,0.154,0.1166,,,,PENDING
run_25,16.43,0.45,1.65,0.287,0.2403,0.1082,,,,PENDING
run_26,28.81,0.409,2.22,0.3329,0.2131,0.0873,,,,PENDING
run_27,21.96,0.656,2.17,0.3291,0.1834,0.1204,,,,PENDING
run_28,30.06,0.509,2.84,0.3769,0.1758,0.0895,,,,PENDING
run_29,22.98,0.772,2.51,0.3545,0.1592,0.1229,,,,PENDING
run_30,26.69,0.478,2.07,0.3221,0.2101,0.1004,,,,PENDING
