# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# liftDir     : (0.000000e+00 -1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# yawAxis     : (0.000000e+00 -1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.700000e-01
# Aref        : 2.500000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	3.987064e-01	2.008665e-01	1.978399e-01	-5.703133e-04	-1.895597e-04	-3.807536e-04	9.559697e-05	1.513264e-03	-3.058406e-01	-1.749578e-02	-3.145885e-01	2.970927e-01
2             	1.538725e-01	7.746567e-02	7.640679e-02	-2.621434e-03	-1.012272e-03	-1.609162e-03	2.984448e-04	5.294399e-04	-1.837873e-01	-6.824362e-04	-1.841285e-01	1.834460e-01
3             	-7.434693e-02	-3.784075e-02	-3.650618e-02	-9.107069e-04	-4.326611e-04	-4.780458e-04	2.269233e-05	-6.672848e-04	-2.973131e-02	1.374260e-02	-2.286001e-02	3.660261e-02
4             	-3.792519e-01	-1.920747e-01	-1.871772e-01	2.337859e-04	-1.962756e-05	2.534134e-04	-1.365205e-04	-2.448745e-03	2.340243e-01	5.019625e-02	2.591224e-01	-2.089261e-01
5             	-6.916731e-01	-3.504426e-01	-3.412305e-01	5.387898e-04	6.973757e-04	-1.585859e-04	4.279808e-04	-4.606047e-03	5.206698e-01	8.811726e-02	5.647284e-01	-4.766112e-01
6             	-6.872333e-01	-3.478240e-01	-3.394093e-01	1.439533e-03	1.196139e-03	2.433934e-04	4.763729e-04	-4.207375e-03	5.446076e-01	8.083013e-02	5.850226e-01	-5.041925e-01
7             	-4.655817e-01	-2.357136e-01	-2.298681e-01	3.517663e-03	2.031956e-03	1.485708e-03	2.731240e-04	-2.922759e-03	4.120227e-01	5.969699e-02	4.418712e-01	-3.821742e-01
8             	-1.701048e-01	-8.611988e-02	-8.398496e-02	2.121059e-03	1.372350e-03	7.487096e-04	3.118200e-04	-1.067460e-03	2.154050e-01	3.571431e-02	2.332622e-01	-1.975478e-01
9             	9.052451e-02	4.610958e-02	4.441493e-02	5.480906e-04	9.049802e-04	-3.568896e-04	6.309349e-04	8.473262e-04	4.641964e-03	5.832525e-03	7.558227e-03	-1.725702e-03
10            	2.638631e-01	1.347134e-01	1.291496e-01	-3.557118e-04	3.256006e-04	-6.813124e-04	5.034565e-04	2.781889e-03	-1.528246e-01	-1.990537e-02	-1.627772e-01	1.428719e-01
11            	3.133119e-01	1.600483e-01	1.532637e-01	-8.337489e-04	-5.183978e-05	-7.819092e-04	3.650347e-04	3.392297e-03	-2.144726e-01	-3.196534e-02	-2.304553e-01	1.984899e-01
12            	2.638169e-01	1.347583e-01	1.290585e-01	-1.564569e-03	-4.230312e-04	-1.141538e-03	3.592532e-04	2.849909e-03	-1.957017e-01	-3.143775e-02	-2.114205e-01	1.799828e-01
13            	1.646039e-01	8.425497e-02	8.034893e-02	-1.420691e-03	-5.026108e-04	-9.180802e-04	2.077347e-04	1.953022e-03	-1.334712e-01	-2.446910e-02	-1.457057e-01	1.212366e-01
14            	4.182246e-02	2.171550e-02	2.010696e-02	-1.047783e-03	-5.323196e-04	-5.154630e-04	-8.428286e-06	8.042698e-04	-4.914331e-02	-1.421602e-02	-5.625132e-02	4.203530e-02
15            	-5.130594e-02	-2.598984e-02	-2.531609e-02	-6.618751e-04	-4.153740e-04	-2.465011e-04	-8.443643e-05	-3.368752e-04	2.528591e-02	-9.468376e-04	2.481249e-02	-2.575933e-02
16            	-1.053363e-01	-5.367037e-02	-5.166592e-02	-6.147965e-04	-3.840091e-04	-2.307874e-04	-7.661088e-05	-1.002228e-03	7.163398e-02	1.024484e-02	7.675641e-02	-6.651156e-02
17            	-1.144648e-01	-5.844119e-02	-5.602358e-02	-2.703153e-04	-2.313933e-04	-3.892202e-05	-9.623564e-05	-1.208809e-03	8.418916e-02	1.535945e-02	9.186888e-02	-7.650944e-02
18            	-9.189059e-02	-4.711227e-02	-4.477832e-02	-2.253014e-04	-1.391589e-04	-8.614251e-05	-2.650817e-05	-1.166978e-03	7.157877e-02	1.596332e-02	7.956043e-02	-6.359711e-02
19            	-5.083917e-02	-2.634264e-02	-2.449653e-02	-2.668201e-04	-1.050319e-04	-1.617882e-04	2.837815e-05	-9.230572e-04	4.448113e-02	1.326330e-02	5.111278e-02	-3.784948e-02
20            	-8.764020e-03	-4.999372e-03	-3.764648e-03	-4.245832e-04	-1.214576e-04	-3.031256e-04	9.083404e-05	-6.173618e-04	1.520577e-02	9.286953e-03	1.984925e-02	-1.056230e-02
21            	2.289213e-02	1.111201e-02	1.178012e-02	-5.083321e-04	-1.337888e-04	-3.745432e-04	1.203772e-04	-3.340566e-04	-8.213496e-03	4.950751e-03	-5.738120e-03	1.068887e-02
22            	3.812452e-02	1.893962e-02	1.918490e-02	-4.874936e-04	-1.213485e-04	-3.661451e-04	1.223983e-04	-1.226409e-04	-2.112877e-02	1.382613e-03	-2.043746e-02	2.182007e-02
23            	3.918865e-02	1.958092e-02	1.960773e-02	-4.790267e-04	-1.157021e-04	-3.633246e-04	1.238113e-04	-1.340504e-05	-2.439786e-02	-1.508610e-03	-2.515216e-02	2.364355e-02
24            	3.062894e-02	1.534777e-02	1.528116e-02	-4.844150e-04	-1.232810e-04	-3.611340e-04	1.189265e-04	3.330372e-05	-2.015171e-02	-2.913729e-03	-2.160857e-02	1.869484e-02
25            	1.689745e-02	8.499206e-03	8.398247e-03	-4.329518e-04	-1.302935e-04	-3.026583e-04	8.618240e-05	5.047920e-05	-1.198068e-02	-3.614418e-03	-1.378789e-02	1.017347e-02
26            	2.756254e-03	1.436782e-03	1.319471e-03	-2.581078e-04	-8.020843e-05	-1.778994e-04	4.884546e-05	5.865555e-05	-3.298315e-03	-3.402404e-03	-4.999517e-03	1.597113e-03
27            	-7.149815e-03	-3.520031e-03	-3.629784e-03	-1.337917e-04	-4.777411e-05	-8.601756e-05	1.912173e-05	5.487627e-05	3.355969e-03	-2.575952e-03	2.067993e-03	-4.643945e-03
28            	-1.204937e-02	-5.979903e-03	-6.069469e-03	4.067174e-05	1.432715e-05	2.634459e-05	-6.008721e-06	4.478307e-05	7.182761e-03	-1.573962e-03	6.395780e-03	-7.969742e-03
29            	-1.224006e-02	-6.096871e-03	-6.143188e-03	1.988459e-04	8.090820e-05	1.179377e-04	-1.851475e-05	2.315831e-05	7.991099e-03	-7.282946e-04	7.626951e-03	-8.355246e-03
30            	-9.386578e-03	-4.700669e-03	-4.685909e-03	2.844893e-04	1.285209e-04	1.559683e-04	-1.372368e-05	-7.380090e-06	6.717645e-03	-4.173985e-05	6.696776e-03	-6.738515e-03
31            	-5.039958e-03	-2.560251e-03	-2.479707e-03	3.006648e-04	1.518844e-04	1.487804e-04	1.551979e-06	-4.027206e-05	4.364774e-03	4.857178e-04	4.607633e-03	-4.121915e-03
32            	-8.500958e-04	-4.871496e-04	-3.629462e-04	2.562065e-04	1.512233e-04	1.049832e-04	2.312003e-05	-6.210169e-05	1.939927e-03	8.302857e-04	2.355070e-03	-1.524784e-03
33            	2.276942e-03	1.064809e-03	1.212133e-03	1.833181e-04	1.431688e-04	4.014923e-05	5.150980e-05	-7.366238e-05	4.456317e-05	9.191018e-04	5.041141e-04	4.149877e-04
34            	3.926880e-03	1.884980e-03	2.041900e-03	8.612429e-05	1.213945e-04	-3.527019e-05	7.833234e-05	-7.845973e-05	-1.044933e-03	8.227292e-04	-6.335685e-04	1.456298e-03
35            	4.185743e-03	2.014551e-03	2.171193e-03	-1.210181e-05	9.476528e-05	-1.068671e-04	1.008162e-04	-7.832100e-05	-1.328499e-03	7.366666e-04	-9.601653e-04	1.696832e-03
36            	3.589412e-03	1.725777e-03	1.863635e-03	-1.008509e-04	6.160881e-05	-1.624597e-04	1.120342e-04	-6.892930e-05	-1.241250e-03	2.756073e-04	-1.103446e-03	1.379054e-03
37            	2.455919e-03	1.176324e-03	1.279594e-03	-1.697854e-04	2.944613e-05	-1.992316e-04	1.143388e-04	-5.163509e-05	-7.530483e-04	-2.563507e-05	-7.658659e-04	7.402308e-04
38            	1.100548e-03	5.237768e-04	5.767717e-04	-2.120247e-04	5.061549e-07	-2.125308e-04	1.065185e-04	-2.649742e-05	-2.145484e-04	-4.703440e-04	-4.497204e-04	-2.062366e-05
39            	-1.078064e-04	-5.237317e-05	-5.543324e-05	-2.133896e-04	-1.727019e-05	-1.961194e-04	8.942459e-05	1.530037e-06	2.263881e-04	-9.098530e-04	-2.285384e-04	-6.813146e-04
40            	-8.767794e-04	-4.133155e-04	-4.634640e-04	-1.824467e-04	-2.603209e-05	-1.564146e-04	6.519125e-05	2.507424e-05	5.236030e-04	-1.140933e-03	-4.686365e-05	-1.094070e-03
41            	-1.128545e-03	-5.162773e-04	-6.122674e-04	-1.130544e-04	-2.424178e-05	-8.881260e-05	3.228541e-05	4.799505e-05	6.056516e-04	-1.186255e-03	1.252385e-05	-1.198779e-03
42            	-1.058491e-03	-4.627154e-04	-5.957758e-04	-2.919311e-05	-1.796593e-05	-1.122718e-05	-3.369375e-06	6.653019e-05	5.385035e-04	-1.159528e-03	-4.126035e-05	-1.118267e-03
43            	-7.743754e-04	-3.091190e-04	-4.652565e-04	5.013844e-05	-1.148395e-05	6.162239e-05	-3.655317e-05	7.806875e-05	3.585313e-04	-1.118235e-03	-2.005864e-04	-9.176489e-04
44            	-4.198610e-04	-1.315289e-04	-2.883321e-04	1.153999e-04	-4.609633e-06	1.200095e-04	-6.230959e-05	7.840157e-05	1.634152e-04	-1.008317e-03	-3.407433e-04	-6.675736e-04
45            	-1.002881e-04	1.541394e-05	-1.157021e-04	1.534182e-04	4.035817e-07	1.530146e-04	-7.630552e-05	6.555801e-05	2.120707e-05	-8.180870e-04	-3.878364e-04	-4.302505e-04
46            	1.061691e-04	9.592087e-05	1.024819e-05	1.586182e-04	1.580332e-06	1.570379e-04	-7.772878e-05	4.283634e-05	-4.529692e-05	-6.505955e-04	-3.705946e-04	-2.800008e-04
47            	2.061516e-04	1.170268e-04	8.912483e-05	1.288196e-04	-1.973646e-06	1.307933e-04	-6.638347e-05	1.395097e-05	-3.335176e-05	-4.831862e-04	-2.749449e-04	-2.082413e-04
48            	2.437392e-04	1.064098e-04	1.373295e-04	7.835690e-05	-7.587661e-06	8.594457e-05	-4.676611e-05	-1.545986e-05	2.802651e-05	-3.155524e-04	-1.297497e-04	-1.858027e-04
49            	2.671637e-04	9.111102e-05	1.760527e-04	1.487392e-05	-1.491378e-05	2.978770e-05	-2.235074e-05	-4.247082e-05	1.333764e-04	-8.389700e-05	9.142785e-05	-1.753249e-04
50            	2.823630e-04	7.938539e-05	2.029776e-04	-4.314186e-05	-2.134724e-05	-2.179462e-05	2.236888e-07	-6.179611e-05	1.908392e-04	1.789448e-05	1.997865e-04	-1.818920e-04
